name,x_mm,y_mm,T_L_Nm,T_R_Nm,F_x_N,F_y_N,F_norm_N,V_J,fd_error_Nm
C1 CAD sample,0.0,-180.0,-0.4754900517325168,0.4754900517325167,9.211750714425347e-16,3.672052331831759,3.672052331831759,-0.7041011312852737,2.796334775306009e-09
C2 midline high,0.0,-120.0,-0.8765633215712717,0.8765633215712717,1.8595137746541537e-16,3.5894068321307366,3.5894068321307366,-0.48568501347855103,7.579561095471626e-10
C3 midline low,0.0,-250.0,-0.2445144740342002,0.2445144740342002,-1.9853585626090578e-16,3.6322363907232735,3.6322363907232735,-0.9608886098113172,1.3022713861435447e-09
C4 left,-60.0,-180.0,-0.46297689545628495,0.3501348726334861,-0.23251066501924408,3.726943507426417,3.7341892181430243,-0.6967395439575326,1.2643431173711562e-09
C5 right,60.0,-180.0,-0.3501348726334861,0.46297689545628495,0.23251066501924453,3.7269435074264172,3.7341892181430247,-0.6967395439575326,7.471070138704082e-10
