name,x_mm,y_mm,theta_L_deg,theta_R_deg,P_x_mm,P_y_mm,Q_x_mm,Q_y_mm,link_residual_m,ik_fk_error_m,left_inverse_singular,right_inverse_singular,couplers_aligned,n_fk_solutions
C1 midline sample (CAD pose),0.0,-180.0,-125.66986453515187,-54.33013546484812,-159.9736805646701,-97.48684028233507,159.9736805646701,-97.48684028233507,2.7755575615628914e-17,1.1107997603354217e-16,False,False,False,2
C2 midline high,0.0,-80.0,-138.5895915526879,-41.4104084473121,-179.99891066788396,-79.37377450136944,179.99891066788396,-79.37377450136944,2.7755575615628914e-17,4.898859096158503e-15,False,False,False,2
C3 midline low,0.0,-250.0,-104.62838117896503,-75.37161882103499,-120.30584126589491,-116.11010285572215,120.30584126589491,-116.11010285572215,2.7755575615628914e-17,1.3877787807814457e-17,False,False,False,2
C4 left of midline,-60.0,-180.0,-150.09024601044428,-80.81543965807776,-194.01742490443456,-59.836237484072434,109.15382105386003,-118.46151754488335,2.7755575615628914e-17,2.0816681711721685e-17,False,False,False,2
C5 right of midline,60.0,-180.0,-99.18456034192224,-29.909753989555742,-109.15382105386003,-118.46151754488335,194.01742490443456,-59.836237484072434,2.7755575615628914e-17,3.1031676915590914e-17,False,False,False,2
